recency,frequency,monetary,time,donated_in_march_07
2,50,12.5,98,1
0,13,3.25,28,1
1,16,4.0,35,1
2,20,5.0,45,1
1,24,6.0,77,-1
4,4,1.0,4,-1
2,7,1.75,14,1
1,12,3.0,35,-1
2,9,2.25,22,1
5,46,11.5,98,1
4,23,5.75,58,-1
0,3,0.75,4,-1
2,10,2.5,28,1
1,13,3.25,47,-1
2,6,1.5,15,1
2,5,1.25,11,1
2,14,3.5,48,1
2,15,3.75,49,1
2,6,1.5,15,1
2,3,0.75,4,1
2,3,0.75,4,1
4,11,2.75,28,-1
2,6,1.5,16,1
2,6,1.5,16,1
9,9,2.25,16,-1
4,14,3.5,40,-1
4,6,1.5,14,-1
4,12,3.0,34,1
4,5,1.25,11,1
4,8,2.0,21,-1
1,14,3.5,58,-1
4,10,2.5,28,1
4,10,2.5,28,1
4,9,2.25,26,1
2,16,4.0,64,-1
2,8,2.0,28,1
2,12,3.0,47,1
4,6,1.5,16,1
2,14,3.5,57,1
4,7,1.75,22,1
2,13,3.25,53,1
2,5,1.25,16,-1
2,5,1.25,16,1
2,5,1.25,16,-1
4,20,5.0,69,1
4,9,2.25,28,1
2,9,2.25,36,-1
2,2,0.5,2,-1
2,2,0.5,2,-1
2,2,0.5,2,-1
2,11,2.75,46,-1
2,11,2.75,46,1
2,6,1.5,22,-1
2,12,3.0,52,-1
4,5,1.25,14,1
4,19,4.75,69,1
4,8,2.0,26,1
2,7,1.75,28,1
2,16,4.0,81,-1
3,6,1.5,21,-1
2,7,1.75,29,-1
2,8,2.0,35,1
2,10,2.5,49,-1
4,5,1.25,16,1
2,3,0.75,9,1
3,16,4.0,74,-1
2,4,1.0,14,1
0,2,0.5,4,-1
4,7,1.75,25,-1
1,9,2.25,51,-1
2,4,1.0,16,-1
2,4,1.0,16,-1
4,17,4.25,71,1
2,2,0.5,4,-1
2,2,0.5,4,1
2,2,0.5,4,1
2,4,1.0,16,1
2,2,0.5,4,-1
2,2,0.5,4,-1
2,2,0.5,4,-1
4,6,1.5,23,1
2,4,1.0,16,-1
2,4,1.0,16,-1
2,4,1.0,16,-1
2,6,1.5,28,1
2,6,1.5,28,-1
4,2,0.5,4,-1
4,2,0.5,4,-1
4,2,0.5,4,-1
2,7,1.75,35,1
4,2,0.5,4,1
4,2,0.5,4,-1
4,2,0.5,4,-1
4,2,0.5,4,-1
12,11,2.75,23,-1
4,7,1.75,28,-1
3,17,4.25,86,-1
4,9,2.25,38,1
4,4,1.0,14,1
5,7,1.75,26,1
4,8,2.0,34,1
2,13,3.25,76,1
4,9,2.25,40,-1
2,5,1.25,26,-1
2,5,1.25,26,-1
6,17,4.25,70,-1
0,8,2.0,59,-1
3,5,1.25,26,-1
2,3,0.75,14,-1
2,10,2.5,64,-1
4,5,1.25,23,1
4,9,2.25,46,-1
4,5,1.25,23,-1
4,8,2.0,40,1
2,12,3.0,82,-1
11,24,6.0,64,-1
2,7,1.75,46,1
4,11,2.75,61,-1
1,7,1.75,57,-1
2,11,2.75,79,1
2,3,0.75,16,1
4,5,1.25,26,1
2,6,1.5,41,1
2,5,1.25,33,1
2,4,1.0,26,-1
2,5,1.25,34,-1
4,8,2.0,46,1
2,4,1.0,26,-1
4,8,2.0,48,1
2,2,0.5,10,1
4,5,1.25,28,-1
2,12,3.0,95,-1
2,2,0.5,10,-1
4,6,1.5,35,-1
2,11,2.75,88,-1
2,3,0.75,19,-1
2,5,1.25,37,-1
2,12,3.0,98,-1
9,5,1.25,19,-1
2,2,0.5,11,-1
2,9,2.25,74,-1
5,14,3.5,86,-1
4,3,0.75,16,-1
4,3,0.75,16,-1
4,2,0.5,9,1
4,3,0.75,16,1
6,3,0.75,14,-1
2,2,0.5,11,-1
2,2,0.5,11,1
2,2,0.5,11,-1
2,7,1.75,58,1
4,6,1.5,39,-1
4,11,2.75,78,-1
2,1,0.25,2,1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,1
2,1,0.25,2,1
2,1,0.25,2,1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
11,10,2.5,35,-1
11,4,1.0,16,1
4,5,1.25,33,1
4,6,1.5,41,1
2,3,0.75,22,-1
4,4,1.0,26,1
10,4,1.0,16,-1
2,4,1.0,35,-1
4,12,3.0,88,-1
13,8,2.0,26,-1
11,9,2.25,33,-1
4,5,1.25,34,-1
4,4,1.0,26,-1
8,15,3.75,77,-1
4,5,1.25,35,1
4,7,1.75,52,-1
4,7,1.75,52,-1
2,4,1.0,35,-1
11,11,2.75,42,-1
2,2,0.5,14,-1
2,5,1.25,47,1
9,8,2.0,38,1
4,6,1.5,47,-1
11,7,1.75,29,-1
9,9,2.25,45,-1
4,6,1.5,52,-1
4,7,1.75,58,-1
6,2,0.5,11,1
4,7,1.75,58,-1
11,9,2.25,38,-1
11,6,1.5,26,-1
2,2,0.5,16,-1
2,7,1.75,76,-1
11,6,1.5,27,-1
11,3,0.75,14,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,1
4,1,0.25,4,-1
4,3,0.75,24,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,-1
10,8,2.0,39,-1
14,7,1.75,26,-1
8,10,2.5,63,-1
11,3,0.75,15,-1
4,2,0.5,14,-1
2,4,1.0,43,-1
8,9,2.25,58,-1
8,8,2.0,52,1
11,22,5.5,98,-1
4,3,0.75,25,1
11,17,4.25,79,1
9,2,0.5,11,-1
4,5,1.25,46,-1
11,12,3.0,58,-1
7,12,3.0,86,-1
11,2,0.5,11,-1
11,2,0.5,11,-1
11,2,0.5,11,-1
